season,episode_in_season,rating,episode
attack on titan,1,1,9.1,1
attack on titan,1,2,8.5,2
attack on titan,1,3,8.1,3
attack on titan,1,4,8.6,4
attack on titan,1,5,9.2,5
attack on titan,1,6,8.9,6
attack on titan,1,7,8.9,7
attack on titan,1,8,9.2,8
attack on titan,1,9,8.8,9
attack on titan,1,10,8.3,10
attack on titan,1,11,8.3,11
attack on titan,1,12,8.3,12
attack on titan,1,13,8.9,13
attack on titan,1,14,8.5,14
attack on titan,1,15,8.2,15
attack on titan,1,16,8.2,16
attack on titan,1,17,9.1,17
attack on titan,1,18,8.8,18
attack on titan,1,19,8.9,19
attack on titan,1,20,9.1,20
attack on titan,1,21,9.6,21
attack on titan,1,22,9.0,22
attack on titan,1,23,9.0,23
attack on titan,1,24,9.2,24
attack on titan,1,25,9.4,25
attack on titan,2,1,9.2,26
attack on titan,2,2,8.5,27
attack on titan,2,3,8.7,28
attack on titan,2,4,9.2,29
attack on titan,2,5,9.2,30
attack on titan,2,6,9.8,31
attack on titan,2,7,9.6,32
attack on titan,2,8,8.4,33
attack on titan,2,9,8.6,34
attack on titan,2,10,9.0,35
attack on titan,2,11,9.5,36
attack on titan,2,12,9.7,37
attack on titan,3,1,8.9,38
attack on titan,3,2,9.3,39
attack on titan,3,3,8.7,40
attack on titan,3,4,8.6,41
attack on titan,3,5,9.1,42
attack on titan,3,6,9.2,43
attack on titan,3,7,9.5,44
attack on titan,3,8,8.9,45
attack on titan,3,9,9.3,46
attack on titan,3,10,9.2,47
attack on titan,3,11,9.2,48
attack on titan,3,12,8.9,49
attack on titan,3,13,9.6,50
attack on titan,3,14,9.5,51
attack on titan,3,15,9.6,52
attack on titan,3,16,9.9,53
attack on titan,3,17,9.9,54
attack on titan,3,18,9.9,55
attack on titan,3,19,9.2,56
attack on titan,3,20,9.8,57
attack on titan,3,21,9.7,58
attack on titan,3,22,9.5,59
attack on titan,4,1,9.3,60
attack on titan,4,2,8.7,61
attack on titan,4,3,9.3,62
attack on titan,4,4,8.9,63
attack on titan,4,5,9.8,64
attack on titan,4,6,9.8,65
attack on titan,4,7,9.9,66
attack on titan,4,8,9.5,67
attack on titan,4,9,9.0,68
attack on titan,4,10,8.6,69
attack on titan,4,11,8.9,70
attack on titan,4,12,8.9,71
attack on titan,4,13,9.6,72
attack on titan,4,14,9.7,73
attack on titan,4,15,9.6,74
attack on titan,4,16,9.5,75
attack on titan,4,17,9.0,76
attack on titan,4,18,9.3,77
attack on titan,4,19,9.8,78
attack on titan,4,20,9.9,79
attack on titan,4,21,9.9,80
attack on titan,4,22,9.0,81
attack on titan,4,23,8.5,82
attack on titan,4,24,8.5,83
attack on titan,4,25,8.7,84
attack on titan,4,26,9.2,85
attack on titan,4,27,9.6,86
attack on titan,4,28,9.7,87
Link Click,1,1,8.7,1
Link Click,1,2,8.1,2
Link Click,1,3,8.6,3
Link Click,1,4,8.9,4
Link Click,1,5,9.5,5
Link Click,1,6,8.6,6
Link Click,1,7,9.0,7
Link Click,1,8,8.0,8
Link Click,1,9,9.1,9
Link Click,1,10,9.3,10
Link Click,1,11,9.8,11
Evangelion,1,1,7.7,1
Evangelion,1,2,8.0,2
Evangelion,1,3,7.7,3
Evangelion,1,4,7.6,4
Evangelion,1,5,7.7,5
Evangelion,1,6,8.3,6
Evangelion,1,7,7.5,7
Evangelion,1,8,7.8,8
Evangelion,1,9,8.1,9
Evangelion,1,10,7.4,10
Evangelion,1,11,7.9,11
Evangelion,1,12,7.9,12
Evangelion,1,13,7.6,13
Evangelion,1,14,7.0,14
Evangelion,1,15,8.1,15
Evangelion,1,16,8.8,16
Evangelion,1,17,7.6,17
Evangelion,1,18,8.9,18
Evangelion,1,19,9.2,19
Evangelion,1,20,8.6,20
Evangelion,1,21,8.6,21
Evangelion,1,22,8.6,22
Evangelion,1,23,8.6,23
Evangelion,1,24,8.6,24
Evangelion,1,25,7.8,25
Evangelion,1,26,8.0,26
Death Note,1,1,8.4,1
Death Note,1,2,8.9,2
Death Note,1,3,8.4,3
Death Note,1,4,8.7,4
Death Note,1,5,8.4,5
Death Note,1,6,8.2,6
Death Note,1,7,9.0,7
Death Note,1,8,8.4,8
Death Note,1,9,8.5,9
Death Note,1,10,8.1,10
Death Note,1,11,8.6,11
Death Note,1,12,8.2,12
Death Note,1,13,8.3,13
Death Note,1,14,8.2,14
Death Note,1,15,8.8,15
Death Note,1,16,8.2,16
Death Note,1,17,8.0,17
Death Note,1,18,7.3,18
Death Note,1,19,7.6,19
Death Note,1,20,7.3,20
Death Note,1,21,7.7,21
Death Note,1,22,8.1,22
Death Note,1,23,8.7,23
Death Note,1,24,9.2,24
Death Note,1,25,9.5,25
Death Note,1,26,6.9,26
Death Note,1,27,7.2,27
Death Note,1,28,7.3,28
Death Note,1,29,7.9,29
Death Note,1,30,7.5,30
Death Note,1,31,7.6,31
Death Note,1,32,7.7,32
Death Note,1,33,7.1,33
Death Note,1,34,7.2,34
Death Note,1,35,7.9,35
Death Note,1,36,8.8,36
Death Note,1,37,8.5,37
